time="2026-09-03T12:48:30+07:00" level=info msg="running analysis for input: c:\\Users\\Dell\\.gemini\\antigravity\\scratch\\study-agent"
time="2026-09-03T12:48:30+07:00" level=info msg="creating provider config"
time="2026-09-03T12:48:30+07:00" level=info msg="setting provider from provider config" provider=java
time="2026-09-03T12:48:30+07:00" level=info msg="setting provider from provider config" provider=builtin
time="2026-09-03T12:48:30+07:00" level=info msg="collecting application properties"
time="2026-09-03T12:48:30+07:00" level=info msg="loading rules for analysis" rules="C:\\Users\\Dell\\.appcat\\rulesets"
time="2026-09-03T12:48:33+07:00" level=info msg="starting provider" provider=java
time="2026-09-03T12:48:50+07:00" level=info msg="starting provider" provider=builtin
time="2026-09-03T12:48:50+07:00" level=info msg="evaluating rules for violations. see analysis.log for more info"
time="2026-09-03T12:48:52+07:00" level=info msg="[1/187] processed rule" ruleID=hardcoded-ip-address
time="2026-09-03T12:48:53+07:00" level=info msg="[2/187] processed rule" ruleID=azure-aws-config-sqs-04004
time="2026-09-03T12:48:56+07:00" level=info msg="[3/187] processed rule" ruleID=azure-aws-config-region-02000
time="2026-09-03T12:48:56+07:00" level=info msg="[4/187] processed rule" ruleID=azure-aws-config-credential-01000
time="2026-09-03T12:48:56+07:00" level=info msg="[5/187] processed rule" ruleID=azure-cache-redis-01000
time="2026-09-03T12:48:56+07:00" level=info msg="[6/187] processed rule" ruleID=azure-database-config-mongodb-02000
time="2026-09-03T12:48:56+07:00" level=info msg="[7/187] processed rule" ruleID=azure-file-system-02000
time="2026-09-03T12:48:56+07:00" level=info msg="[8/187] processed rule" ruleID=azure-file-system-03000
time="2026-09-03T12:48:57+07:00" level=info msg="[9/187] processed rule" ruleID=azure-java-version-01000
time="2026-09-03T12:48:57+07:00" level=info msg="[10/187] processed rule" ruleID=azure-java-version-02000
time="2026-09-03T12:48:58+07:00" level=info msg="[11/187] processed rule" ruleID=azure-keystore-certificates-01000
time="2026-09-03T12:49:08+07:00" level=info msg="[12/187] processed rule" ruleID=azure-aws-config-sqs-04001
time="2026-09-03T12:49:08+07:00" level=info msg="[13/187] processed rule" ruleID=azure-aws-config-sqs-04003
time="2026-09-03T12:49:08+07:00" level=info msg="[14/187] processed rule" ruleID=azure-message-queue-config-rabbitmq-01000
time="2026-09-03T12:49:08+07:00" level=info msg="[15/187] processed rule" ruleID=azure-message-queue-config-artemis-01000
time="2026-09-03T12:49:08+07:00" level=info msg="[16/187] processed rule" ruleID=azure-keystore-certificates-02000
time="2026-09-03T12:49:08+07:00" level=info msg="[17/187] processed rule" ruleID=azure-aws-config-s3-03002
time="2026-09-03T12:49:21+07:00" level=info msg="[18/187] processed rule" ruleID=azure-aws-config-sqs-04002
time="2026-09-03T12:49:21+07:00" level=info msg="[19/187] processed rule" ruleID=azure-aws-config-s3-03001
time="2026-09-03T12:49:21+07:00" level=info msg="[20/187] processed rule" ruleID=azure-aws-config-sqs-04000
time="2026-09-03T12:49:21+07:00" level=info msg="[21/187] processed rule" ruleID=azure-message-queue-config-kafka-01000
time="2026-09-03T12:49:21+07:00" level=info msg="[22/187] processed rule" ruleID=azure-message-queue-spring-jms-rabbitmq-01000
time="2026-09-03T12:49:21+07:00" level=info msg="[23/187] processed rule" ruleID=azure-message-queue-ibm-jms-01000
time="2026-09-03T12:49:21+07:00" level=info msg="[24/187] processed rule" ruleID=aws-lambda-to-azure-functions-01000
time="2026-09-03T12:49:21+07:00" level=info msg="[25/187] processed rule" ruleID=amazon-sns-to-azure-servicebus-01000
time="2026-09-03T12:49:21+07:00" level=info msg="[26/187] processed rule" ruleID=apache-pulsar-to-azure-eventhubs-01000
time="2026-09-03T12:49:21+07:00" level=info msg="[27/187] processed rule" ruleID=amazon-kinesis-to-azure-eventhubs-01000
time="2026-09-03T12:49:21+07:00" level=info msg="[28/187] processed rule" ruleID=azure-message-queue-rabbitmq-01000
time="2026-09-03T12:49:21+07:00" level=info msg="[29/187] processed rule" ruleID=spring-boot-to-azure-config-server-01000
